dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
org.jsoup:jsoup,org.slf4j:jcl-over-slf4j,18,133,173,0.14,0.1,0.14
ch.qos.logback:logback-classic,org.apache.httpcomponents:httpclient,110,381,384,0.29,0.29,0.29
ch.qos.logback:logback-classic,com.fasterxml.jackson.core:jackson-core,87,381,287,0.23,0.3,0.3
org.springframework:spring-beans,redis.clients:jedis,17,151,111,0.11,0.15,0.15
javax.xml.bind:jaxb-api,org.apache.logging.log4j:log4j-api,27,169,158,0.16,0.17,0.17
javax.xml.bind:jaxb-api,org.easymock:easymock,19,169,104,0.11,0.18,0.18
org.projectlombok:lombok,org.springframework:spring-beans,25,233,151,0.11,0.17,0.17
org.hsqldb:hsqldb,org.javassist:javassist,19,120,132,0.16,0.14,0.16
javax.servlet:servlet-api,org.jsoup:jsoup,13,158,133,0.08,0.1,0.1
javax.servlet:servlet-api,org.apache.logging.log4j:log4j-core,12,158,202,0.08,0.06,0.08
org.apache.commons:commons-compress,org.json:json,23,121,137,0.19,0.17,0.19
com.alibaba:fastjson,org.hsqldb:hsqldb,2,207,120,0.01,0.02,0.02
org.apache.commons:commons-math3,org.springframework:spring-test,10,107,188,0.09,0.05,0.09
com.fasterxml.jackson.core:jackson-annotations,javax.annotation:javax.annotation-api,35,237,122,0.15,0.29,0.29
com.google.protobuf:protobuf-java,org.apache.logging.log4j:log4j-api,18,152,158,0.12,0.11,0.12
com.google.protobuf:protobuf-java,org.powermock:powermock-module-junit4,17,152,118,0.11,0.14,0.14
org.apache.logging.log4j:log4j-slf4j-impl,org.mockito:mockito-core,50,120,504,0.42,0.1,0.42
junit:junit,org.slf4j:slf4j-log4j12,251,1314,301,0.19,0.83,0.83
org.junit.jupiter:junit-jupiter-engine,org.slf4j:slf4j-log4j12,25,200,301,0.13,0.08,0.13
org.bouncycastle:bcprov-jdk15on,org.springframework:spring-webmvc,10,106,142,0.09,0.07,0.09
org.eclipse.jetty:jetty-server,org.testng:testng,29,148,158,0.2,0.18,0.2
commons-fileupload:commons-fileupload,org.hamcrest:hamcrest-library,15,148,136,0.1,0.11,0.11
org.apache.httpcomponents:httpclient,org.projectlombok:lombok,54,384,233,0.14,0.23,0.23
com.h2database:h2,org.hamcrest:hamcrest-library,25,211,136,0.12,0.18,0.18
org.hamcrest:hamcrest-library,org.slf4j:jcl-over-slf4j,29,136,173,0.21,0.17,0.21
com.alibaba:fastjson,org.mockito:mockito-core,26,207,504,0.13,0.05,0.13
javax.annotation:javax.annotation-api,org.slf4j:slf4j-log4j12,28,122,301,0.23,0.09,0.23
org.apache.commons:commons-math3,org.eclipse.jetty:jetty-servlet,14,107,114,0.13,0.12,0.13
com.google.code.findbugs:jsr305,org.apache.commons:commons-lang3,67,167,548,0.4,0.12,0.4
com.google.code.findbugs:jsr305,org.apache.zookeeper:zookeeper,20,167,107,0.12,0.19,0.19
com.fasterxml.jackson.core:jackson-databind,org.postgresql:postgresql,61,453,134,0.13,0.46,0.46
ch.qos.logback:logback-core,com.google.code.findbugs:jsr305,17,113,167,0.15,0.1,0.15
com.fasterxml.jackson.core:jackson-annotations,org.apache.commons:commons-lang3,123,237,548,0.52,0.22,0.52
com.fasterxml.jackson.core:jackson-annotations,org.springframework:spring-beans,44,237,151,0.19,0.29,0.29
org.postgresql:postgresql,org.springframework:spring-web,22,134,161,0.16,0.14,0.16
org.postgresql:postgresql,org.slf4j:slf4j-api,85,134,795,0.63,0.11,0.63
org.apache.maven.plugin-tools:maven-plugin-annotations,org.powermock:powermock-module-junit4,13,132,118,0.1,0.11,0.11
com.fasterxml.jackson.core:jackson-core,org.apache.logging.log4j:log4j-api,50,287,158,0.17,0.32,0.32
commons-codec:commons-codec,commons-lang:commons-lang,125,356,271,0.35,0.46,0.46
commons-codec:commons-codec,org.slf4j:slf4j-api,241,356,795,0.68,0.3,0.68
junit:junit,org.hamcrest:hamcrest-all,114,1314,138,0.09,0.83,0.83
org.apache.httpcomponents:httpcore,org.springframework:spring-jdbc,19,152,130,0.13,0.15,0.15
org.slf4j:jcl-over-slf4j,org.yaml:snakeyaml,23,173,143,0.13,0.16,0.16
org.hsqldb:hsqldb,org.postgresql:postgresql,33,120,134,0.28,0.25,0.28
commons-fileupload:commons-fileupload,org.json:json,30,148,137,0.2,0.22,0.22
javax.servlet:servlet-api,org.apache.commons:commons-collections4,16,158,109,0.1,0.15,0.15
org.apache.logging.log4j:log4j-api,org.springframework:spring-web,22,158,161,0.14,0.14,0.14
commons-io:commons-io,org.hsqldb:hsqldb,54,614,120,0.09,0.45,0.45
commons-io:commons-io,org.springframework:spring-test,97,614,188,0.16,0.52,0.52
commons-cli:commons-cli,io.netty:netty-all,27,223,125,0.12,0.22,0.22
com.alibaba:fastjson,javax.annotation:javax.annotation-api,14,207,122,0.07,0.11,0.11
commons-logging:commons-logging,org.eclipse.jetty:jetty-server,50,217,148,0.23,0.34,0.34
org.apache.commons:commons-lang3,org.springframework:spring-beans,76,548,151,0.14,0.5,0.5
org.apache.zookeeper:zookeeper,org.mockito:mockito-all,15,107,210,0.14,0.07,0.14
com.google.code.findbugs:jsr305,org.easymock:easymock,22,167,104,0.13,0.21,0.21
com.fasterxml.jackson.core:jackson-annotations,org.slf4j:slf4j-simple,50,237,223,0.21,0.22,0.22
com.fasterxml.jackson.core:jackson-annotations,org.jsoup:jsoup,25,237,133,0.11,0.19,0.19
com.google.guava:guava,org.apache.commons:commons-lang3,300,680,548,0.44,0.55,0.55
javax.validation:validation-api,org.hibernate:hibernate-core,29,110,114,0.26,0.25,0.26
commons-beanutils:commons-beanutils,org.apache.logging.log4j:log4j-api,26,163,158,0.16,0.16,0.16
commons-codec:commons-codec,org.json:json,59,356,137,0.17,0.43,0.43
commons-codec:commons-codec,org.apache.commons:commons-lang3,191,356,548,0.54,0.35,0.54
commons-codec:commons-codec,org.hamcrest:hamcrest-core,52,356,137,0.15,0.38,0.38
commons-lang:commons-lang,org.projectlombok:lombok,30,271,233,0.11,0.13,0.13
org.bouncycastle:bcprov-jdk15on,org.springframework:spring-beans,14,106,151,0.13,0.09,0.13
org.apache.httpcomponents:httpclient,org.eclipse.jetty:jetty-servlet,61,384,114,0.16,0.54,0.54
log4j:log4j,org.springframework:spring-context,87,296,240,0.29,0.36,0.36
org.apache.commons:commons-compress,org.apache.commons:commons-math3,27,121,107,0.22,0.25,0.25
org.hamcrest:hamcrest-library,org.postgresql:postgresql,19,136,134,0.14,0.14,0.14
com.alibaba:fastjson,javax.validation:validation-api,15,207,110,0.07,0.14,0.14
org.apache.commons:commons-lang3,org.eclipse.jetty:jetty-server,77,548,148,0.14,0.52,0.52
com.google.code.findbugs:jsr305,javax.servlet:servlet-api,19,167,158,0.11,0.12,0.12
ch.qos.logback:logback-classic,com.google.code.gson:gson,88,381,365,0.23,0.24,0.24
org.mockito:mockito-core,redis.clients:jedis,38,504,111,0.08,0.34,0.34
org.apache.commons:commons-text,org.apache.logging.log4j:log4j-api,25,103,158,0.24,0.16,0.24
org.apache.commons:commons-text,org.hamcrest:hamcrest-core,14,103,137,0.14,0.1,0.14
com.fasterxml.jackson.core:jackson-annotations,org.hamcrest:hamcrest-core,34,237,137,0.14,0.25,0.25
javax.validation:validation-api,redis.clients:jedis,16,110,111,0.15,0.14,0.15
javax.inject:javax.inject,org.junit.jupiter:junit-jupiter-api,13,109,164,0.12,0.08,0.12
joda-time:joda-time,org.eclipse.jetty:jetty-server,46,222,148,0.21,0.31,0.31
commons-codec:commons-codec,org.slf4j:slf4j-log4j12,99,356,301,0.28,0.33,0.33
junit:junit,org.eclipse.jetty:jetty-servlet,93,1314,114,0.07,0.82,0.82
org.apache.logging.log4j:log4j-core,org.springframework:spring-context,36,202,240,0.18,0.15,0.18
org.junit.jupiter:junit-jupiter-engine,org.springframework:spring-webmvc,10,200,142,0.05,0.07,0.07
com.google.code.gson:gson,org.apache.httpcomponents:httpcore,53,365,152,0.15,0.35,0.35
org.apache.maven:maven-core,org.yaml:snakeyaml,23,112,143,0.21,0.16,0.21
javax.xml.bind:jaxb-api,org.apache.maven:maven-plugin-api,25,169,156,0.15,0.16,0.16
org.apache.httpcomponents:httpclient,org.yaml:snakeyaml,58,384,143,0.15,0.41,0.41
org.springframework:spring-context,org.yaml:snakeyaml,33,240,143,0.14,0.23,0.23
org.apache.commons:commons-collections4,org.apache.logging.log4j:log4j-core,23,109,202,0.21,0.11,0.21
log4j:log4j,org.postgresql:postgresql,27,296,134,0.09,0.2,0.2
log4j:log4j,org.apache.maven:maven-core,22,296,112,0.07,0.2,0.2
commons-io:commons-io,org.apache.maven:maven-core,50,614,112,0.08,0.45,0.45
org.javassist:javassist,org.testng:testng,13,132,158,0.1,0.08,0.1
org.hamcrest:hamcrest-library,org.springframework:spring-webmvc,10,136,142,0.07,0.07,0.07
commons-cli:commons-cli,org.springframework:spring-webmvc,22,223,142,0.1,0.15,0.15
commons-logging:commons-logging,org.easymock:easymock,41,217,104,0.19,0.39,0.39
org.apache.commons:commons-lang3,org.javassist:javassist,65,548,132,0.12,0.49,0.49
com.google.code.findbugs:jsr305,com.google.protobuf:protobuf-java,36,167,152,0.22,0.24,0.24
org.jsoup:jsoup,org.slf4j:slf4j-simple,14,133,223,0.11,0.06,0.11
org.mockito:mockito-core,org.powermock:powermock-module-junit4,64,504,118,0.13,0.54,0.54
javax.servlet:javax.servlet-api,org.apache.commons:commons-collections4,45,281,109,0.16,0.41,0.41
javax.servlet:javax.servlet-api,org.easymock:easymock,28,281,104,0.1,0.27,0.27
org.apache.logging.log4j:log4j-slf4j-impl,org.powermock:powermock-module-junit4,14,120,118,0.12,0.12,0.12
com.google.inject:guice,org.slf4j:jcl-over-slf4j,24,114,173,0.21,0.14,0.21
com.google.code.gson:gson,org.slf4j:slf4j-simple,66,365,223,0.18,0.3,0.3
org.easymock:easymock,org.slf4j:slf4j-simple,15,104,223,0.14,0.07,0.14
org.apache.maven:maven-plugin-api,org.slf4j:slf4j-simple,27,156,223,0.17,0.12,0.17
org.apache.maven:maven-core,org.jsoup:jsoup,16,112,133,0.14,0.12,0.14
org.apache.httpcomponents:httpclient,org.junit.jupiter:junit-jupiter-engine,35,384,200,0.09,0.18,0.18
org.springframework:spring-context,org.springframework:spring-webmvc,91,240,142,0.38,0.64,0.64
org.apache.commons:commons-collections4,org.slf4j:slf4j-simple,18,109,223,0.17,0.08,0.17
log4j:log4j,org.hamcrest:hamcrest-all,31,296,138,0.1,0.22,0.22
log4j:log4j,org.apache.httpcomponents:httpcore,49,296,152,0.17,0.32,0.32
commons-collections:commons-collections,org.easymock:easymock,28,163,104,0.17,0.27,0.27
javax.annotation:javax.annotation-api,org.springframework:spring-core,24,122,186,0.2,0.13,0.2
commons-logging:commons-logging,org.apache.httpcomponents:httpcore,60,217,152,0.28,0.39,0.39
org.apache.zookeeper:zookeeper,org.hamcrest:hamcrest-all,9,107,138,0.08,0.07,0.08
ch.qos.logback:logback-classic,org.openjdk.jmh:jmh-core,24,381,100,0.06,0.24,0.24
org.apache.commons:commons-text,org.mockito:mockito-core,39,103,504,0.38,0.08,0.38
ch.qos.logback:logback-core,org.easymock:easymock,7,113,104,0.06,0.07,0.07
javax.servlet:javax.servlet-api,org.apache.maven:maven-plugin-api,30,281,156,0.11,0.19,0.19
org.apache.maven.plugin-tools:maven-plugin-annotations,org.projectlombok:lombok,10,132,233,0.08,0.04,0.08
com.google.inject:guice,javax.servlet:servlet-api,18,114,158,0.16,0.11,0.16
com.google.inject:guice,javax.inject:javax.inject,30,114,109,0.26,0.28,0.28
org.slf4j:slf4j-api,org.testng:testng,86,795,158,0.11,0.54,0.54
org.bouncycastle:bcprov-jdk15on,org.slf4j:slf4j-simple,21,106,223,0.2,0.09,0.2
com.h2database:h2,org.projectlombok:lombok,34,211,233,0.16,0.15,0.16
commons-cli:commons-cli,org.json:json,31,223,137,0.14,0.23,0.23
org.apache.commons:commons-lang3,org.apache.logging.log4j:log4j-slf4j-impl,53,548,120,0.1,0.44,0.44
org.apache.commons:commons-lang3,org.springframework:spring-webmvc,58,548,142,0.11,0.41,0.41
ch.qos.logback:logback-classic,commons-collections:commons-collections,47,381,163,0.12,0.29,0.29
org.hamcrest:hamcrest-all,org.springframework:spring-jdbc,12,138,130,0.09,0.09,0.09
org.apache.commons:commons-text,org.springframework:spring-beans,14,103,151,0.14,0.09,0.14
ch.qos.logback:logback-core,javax.servlet:javax.servlet-api,29,113,281,0.26,0.1,0.26
org.openjdk.jmh:jmh-core,org.springframework:spring-test,9,100,188,0.09,0.05,0.09
commons-beanutils:commons-beanutils,org.eclipse.jetty:jetty-servlet,30,163,114,0.18,0.26,0.26
com.fasterxml.jackson.core:jackson-core,org.apache.maven:maven-core,26,287,112,0.09,0.23,0.23
org.springframework:spring-core,org.springframework:spring-test,103,186,188,0.55,0.55,0.55
org.eclipse.jetty:jetty-servlet,org.springframework:spring-core,27,114,186,0.24,0.15,0.24
com.google.inject:guice,commons-lang:commons-lang,33,114,271,0.29,0.12,0.29
mysql:mysql-connector-java,org.springframework:spring-jdbc,76,326,130,0.23,0.58,0.58
com.google.code.gson:gson,org.apache.logging.log4j:log4j-core,68,365,202,0.19,0.34,0.34
org.apache.maven:maven-core,org.hibernate:hibernate-core,7,112,114,0.06,0.06,0.06
org.bouncycastle:bcprov-jdk15on,org.hamcrest:hamcrest-all,16,106,138,0.15,0.12,0.15
org.projectlombok:lombok,org.slf4j:slf4j-simple,25,233,223,0.11,0.11,0.11
org.assertj:assertj-core,org.slf4j:slf4j-simple,44,243,223,0.18,0.2,0.2
commons-fileupload:commons-fileupload,org.slf4j:slf4j-simple,21,148,223,0.14,0.09,0.14
commons-fileupload:commons-fileupload,javax.servlet:javax.servlet-api,78,148,281,0.53,0.28,0.53
commons-io:commons-io,org.springframework:spring-context,122,614,240,0.2,0.51,0.51
commons-logging:commons-logging,org.apache.logging.log4j:log4j-core,45,217,202,0.21,0.22,0.22
com.google.code.findbugs:jsr305,org.projectlombok:lombok,22,167,233,0.13,0.09,0.13
com.google.code.findbugs:jsr305,commons-collections:commons-collections,34,167,163,0.2,0.21,0.21
com.google.protobuf:protobuf-java,org.easymock:easymock,14,152,104,0.09,0.13,0.13
org.mockito:mockito-all,redis.clients:jedis,15,210,111,0.07,0.14,0.14
commons-lang:commons-lang,javax.annotation:javax.annotation-api,27,271,122,0.1,0.22,0.22
org.projectlombok:lombok,org.springframework:spring-jdbc,21,233,130,0.09,0.16,0.16
commons-fileupload:commons-fileupload,org.eclipse.jetty:jetty-server,34,148,148,0.23,0.23,0.23
org.apache.commons:commons-compress,org.javassist:javassist,27,121,132,0.22,0.2,0.22
io.netty:netty-all,redis.clients:jedis,15,125,111,0.12,0.14,0.14
com.google.code.findbugs:jsr305,org.testng:testng,16,167,158,0.1,0.1,0.1
com.fasterxml.jackson.core:jackson-databind,org.yaml:snakeyaml,61,453,143,0.13,0.43,0.43
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-api,16,113,158,0.14,0.1,0.14
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-slf4j-impl,7,113,120,0.06,0.06,0.06
org.openjdk.jmh:jmh-core,org.slf4j:slf4j-api,46,100,795,0.46,0.06,0.46
javax.servlet:javax.servlet-api,org.junit.jupiter:junit-jupiter-engine,23,281,200,0.08,0.12,0.12
org.hamcrest:hamcrest-core,org.mockito:mockito-all,16,137,210,0.12,0.08,0.12
commons-beanutils:commons-beanutils,org.apache.logging.log4j:log4j-core,31,163,202,0.19,0.15,0.19
org.eclipse.jetty:jetty-servlet,org.jsoup:jsoup,14,114,133,0.12,0.11,0.12
joda-time:joda-time,org.bouncycastle:bcprov-jdk15on,22,222,106,0.1,0.21,0.21
com.google.code.gson:gson,org.jsoup:jsoup,36,365,133,0.1,0.27,0.27
org.json:json,org.jsoup:jsoup,21,137,133,0.15,0.16,0.16
org.json:json,org.springframework:spring-core,32,137,186,0.23,0.17,0.23
javax.servlet:servlet-api,org.hamcrest:hamcrest-all,15,158,138,0.09,0.11,0.11
org.springframework:spring-context,org.springframework:spring-web,119,240,161,0.5,0.74,0.74
commons-io:commons-io,javax.servlet:javax.servlet-api,140,614,281,0.23,0.5,0.5
io.netty:netty-all,org.postgresql:postgresql,15,125,134,0.12,0.11,0.12
org.javassist:javassist,org.mockito:mockito-core,57,132,504,0.43,0.11,0.43
commons-cli:commons-cli,org.springframework:spring-beans,33,223,151,0.15,0.22,0.22
com.google.code.findbugs:jsr305,org.javassist:javassist,20,167,132,0.12,0.15,0.15
com.google.code.findbugs:jsr305,junit:junit,124,167,1314,0.74,0.09,0.74
ch.qos.logback:logback-classic,org.hibernate:hibernate-core,40,381,114,0.1,0.35,0.35
ch.qos.logback:logback-classic,org.apache.zookeeper:zookeeper,35,381,107,0.09,0.33,0.33
com.fasterxml.jackson.core:jackson-databind,com.google.protobuf:protobuf-java,51,453,152,0.11,0.34,0.34
org.apache.commons:commons-text,org.springframework:spring-test,20,103,188,0.19,0.11,0.19
javax.servlet:javax.servlet-api,org.springframework:spring-jdbc,54,281,130,0.19,0.42,0.42
javax.validation:validation-api,org.hamcrest:hamcrest-all,14,110,138,0.13,0.1,0.13
javax.inject:javax.inject,org.springframework:spring-web,32,109,161,0.29,0.2,0.29
commons-beanutils:commons-beanutils,mysql:mysql-connector-java,59,163,326,0.36,0.18,0.36
org.junit.jupiter:junit-jupiter-api,org.slf4j:slf4j-api,78,164,795,0.48,0.1,0.48
org.apache.httpcomponents:httpcore,org.slf4j:slf4j-log4j12,51,152,301,0.34,0.17,0.34
commons-io:commons-io,org.testng:testng,69,614,158,0.11,0.44,0.44
commons-io:commons-io,org.eclipse.jetty:jetty-servlet,73,614,114,0.12,0.64,0.64
commons-io:commons-io,javax.xml.bind:jaxb-api,87,614,169,0.14,0.51,0.51
commons-logging:commons-logging,org.springframework:spring-beans,48,217,151,0.22,0.32,0.32
org.hibernate:hibernate-core,org.slf4j:jcl-over-slf4j,26,114,173,0.23,0.15,0.23
org.apache.commons:commons-lang3,org.hibernate:hibernate-core,52,548,114,0.09,0.46,0.46
ch.qos.logback:logback-classic,org.apache.commons:commons-lang3,161,381,548,0.42,0.29,0.42
ch.qos.logback:logback-classic,org.easymock:easymock,24,381,104,0.06,0.23,0.23
com.fasterxml.jackson.core:jackson-databind,org.powermock:powermock-module-junit4,44,453,118,0.1,0.37,0.37
com.fasterxml.jackson.core:jackson-databind,org.springframework:spring-web,85,453,161,0.19,0.53,0.53
org.apache.commons:commons-text,org.hsqldb:hsqldb,10,103,120,0.1,0.08,0.1
ch.qos.logback:logback-core,org.eclipse.jetty:jetty-server,19,113,148,0.17,0.13,0.17
ch.qos.logback:logback-core,com.h2database:h2,25,113,211,0.22,0.12,0.22
ch.qos.logback:logback-core,commons-logging:commons-logging,14,113,217,0.12,0.06,0.12
ch.qos.logback:logback-core,org.slf4j:slf4j-api,98,113,795,0.87,0.12,0.87
com.fasterxml.jackson.core:jackson-annotations,org.junit.jupiter:junit-jupiter-api,27,237,164,0.11,0.16,0.16
com.fasterxml.jackson.core:jackson-annotations,javax.xml.bind:jaxb-api,44,237,169,0.19,0.26,0.26
javax.servlet:javax.servlet-api,org.apache.commons:commons-math3,18,281,107,0.06,0.17,0.17
org.slf4j:slf4j-log4j12,org.slf4j:slf4j-simple,35,301,223,0.12,0.16,0.16
commons-beanutils:commons-beanutils,org.yaml:snakeyaml,33,163,143,0.2,0.23,0.23
com.google.protobuf:protobuf-java,javax.xml.bind:jaxb-api,21,152,169,0.14,0.12,0.14
org.apache.logging.log4j:log4j-slf4j-impl,org.hamcrest:hamcrest-all,17,120,138,0.14,0.12,0.14
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter:junit-jupiter-engine,125,164,200,0.76,0.63,0.76
joda-time:joda-time,org.springframework:spring-jdbc,33,222,130,0.15,0.25,0.25
commons-codec:commons-codec,javax.inject:javax.inject,33,356,109,0.09,0.3,0.3
org.easymock:easymock,org.openjdk.jmh:jmh-core,9,104,100,0.09,0.09,0.09
org.apache.maven:maven-core,org.springframework:spring-core,15,112,186,0.13,0.08,0.13
org.bouncycastle:bcprov-jdk15on,org.eclipse.jetty:jetty-server,22,106,148,0.21,0.15,0.21
org.eclipse.jetty:jetty-server,org.slf4j:slf4j-api,106,148,795,0.72,0.13,0.72
org.slf4j:jcl-over-slf4j,org.slf4j:slf4j-log4j12,62,173,301,0.36,0.21,0.36
commons-fileupload:commons-fileupload,org.projectlombok:lombok,23,148,233,0.16,0.1,0.16
javax.servlet:servlet-api,javax.validation:validation-api,29,158,110,0.18,0.26,0.26
org.javassist:javassist,org.junit.jupiter:junit-jupiter-engine,28,132,200,0.21,0.14,0.21
commons-cli:commons-cli,org.easymock:easymock,26,223,104,0.12,0.25,0.25
org.powermock:powermock-module-junit4,redis.clients:jedis,13,118,111,0.11,0.12,0.12
org.apache.commons:commons-math3,org.springframework:spring-core,9,107,186,0.08,0.05,0.08
ch.qos.logback:logback-classic,commons-cli:commons-cli,56,381,223,0.15,0.25,0.25
org.hamcrest:hamcrest-all,org.junit.jupiter:junit-jupiter-api,14,138,164,0.1,0.09,0.1
org.springframework:spring-beans,org.springframework:spring-test,90,151,188,0.6,0.48,0.6
javax.servlet:javax.servlet-api,org.projectlombok:lombok,42,281,233,0.15,0.18,0.18
javax.servlet:javax.servlet-api,org.springframework:spring-context,97,281,240,0.35,0.4,0.4
joda-time:joda-time,org.projectlombok:lombok,31,222,233,0.14,0.13,0.14
joda-time:joda-time,org.hamcrest:hamcrest-all,31,222,138,0.14,0.22,0.22
commons-codec:commons-codec,org.slf4j:slf4j-simple,59,356,223,0.17,0.26,0.26
commons-fileupload:commons-fileupload,org.mockito:mockito-all,20,148,210,0.14,0.1,0.14
com.h2database:h2,org.json:json,22,211,137,0.1,0.16,0.16
com.h2database:h2,commons-collections:commons-collections,39,211,163,0.18,0.24,0.24
org.apache.commons:commons-collections4,org.projectlombok:lombok,15,109,233,0.14,0.06,0.14
io.netty:netty-all,org.apache.logging.log4j:log4j-core,29,125,202,0.23,0.14,0.23
com.alibaba:fastjson,commons-cli:commons-cli,17,207,223,0.08,0.08,0.08
com.alibaba:fastjson,org.hamcrest:hamcrest-core,5,207,137,0.02,0.04,0.04
com.alibaba:fastjson,org.junit.jupiter:junit-jupiter-engine,12,207,200,0.06,0.06,0.06
org.apache.zookeeper:zookeeper,org.springframework:spring-test,31,107,188,0.29,0.16,0.29
org.jsoup:jsoup,org.testng:testng,14,133,158,0.11,0.09,0.11
org.jsoup:jsoup,org.slf4j:slf4j-api,63,133,795,0.47,0.08,0.47
ch.qos.logback:logback-classic,org.junit.jupiter:junit-jupiter-api,47,381,164,0.12,0.29,0.29
ch.qos.logback:logback-core,com.google.code.gson:gson,41,113,365,0.36,0.11,0.36
org.postgresql:postgresql,org.yaml:snakeyaml,28,134,143,0.21,0.2,0.21
javax.servlet:javax.servlet-api,org.hamcrest:hamcrest-all,32,281,138,0.11,0.23,0.23
com.fasterxml.jackson.core:jackson-core,org.slf4j:slf4j-simple,54,287,223,0.19,0.24,0.24
com.fasterxml.jackson.core:jackson-core,org.bouncycastle:bcprov-jdk15on,35,287,106,0.12,0.33,0.33
com.google.inject:guice,org.hibernate:hibernate-core,14,114,114,0.12,0.12,0.12
org.apache.logging.log4j:log4j-core,org.springframework:spring-webmvc,21,202,142,0.1,0.15,0.15
javax.xml.bind:jaxb-api,org.apache.maven.plugin-tools:maven-plugin-annotations,19,169,132,0.11,0.14,0.14
org.hsqldb:hsqldb,org.openjdk.jmh:jmh-core,10,120,100,0.08,0.1,0.1
commons-fileupload:commons-fileupload,org.hibernate:hibernate-core,37,148,114,0.25,0.32,0.32
com.h2database:h2,commons-beanutils:commons-beanutils,45,211,163,0.21,0.28,0.28
io.netty:netty-all,org.apache.commons:commons-collections4,11,125,109,0.09,0.1,0.1
commons-cli:commons-cli,org.bouncycastle:bcprov-jdk15on,30,223,106,0.13,0.28,0.28
com.alibaba:fastjson,org.springframework:spring-web,26,207,161,0.13,0.16,0.16
commons-collections:commons-collections,org.hsqldb:hsqldb,26,163,120,0.16,0.22,0.22
org.apache.commons:commons-math3,org.apache.zookeeper:zookeeper,21,107,107,0.2,0.2,0.2
ch.qos.logback:logback-classic,org.apache.commons:commons-compress,36,381,121,0.09,0.3,0.3
ch.qos.logback:logback-classic,org.mockito:mockito-core,133,381,504,0.35,0.26,0.35
com.squareup.okhttp3:okhttp,org.powermock:powermock-module-junit4,13,131,118,0.1,0.11,0.11
javax.servlet:javax.servlet-api,org.slf4j:slf4j-log4j12,89,281,301,0.32,0.3,0.32
javax.validation:validation-api,junit:junit,77,110,1314,0.7,0.06,0.7
javax.inject:javax.inject,org.junit.jupiter:junit-jupiter-engine,14,109,200,0.13,0.07,0.13
commons-fileupload:commons-fileupload,org.springframework:spring-webmvc,53,148,142,0.36,0.37,0.37
org.apache.httpcomponents:httpclient,org.springframework:spring-test,67,384,188,0.17,0.36,0.36
log4j:log4j,org.springframework:spring-core,63,296,186,0.21,0.34,0.34
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-api,89,158,795,0.56,0.11,0.56
commons-cli:commons-cli,javax.inject:javax.inject,22,223,109,0.1,0.2,0.2
com.alibaba:fastjson,com.google.code.findbugs:jsr305,5,207,167,0.02,0.03,0.03
com.alibaba:fastjson,org.mockito:mockito-all,9,207,210,0.04,0.04,0.04
commons-collections:commons-collections,org.apache.commons:commons-collections4,28,163,109,0.17,0.26,0.26
commons-logging:commons-logging,org.apache.logging.log4j:log4j-slf4j-impl,21,217,120,0.1,0.18,0.18
com.google.code.findbugs:jsr305,org.yaml:snakeyaml,27,167,143,0.16,0.19,0.19
org.jsoup:jsoup,org.springframework:spring-context,20,133,240,0.15,0.08,0.15
com.fasterxml.jackson.core:jackson-databind,org.json:json,58,453,137,0.13,0.42,0.42
org.eclipse.jetty:jetty-servlet,org.yaml:snakeyaml,26,114,143,0.23,0.18,0.23
org.mockito:mockito-all,org.slf4j:slf4j-simple,35,210,223,0.17,0.16,0.17
org.apache.logging.log4j:log4j-core,org.powermock:powermock-module-junit4,19,202,118,0.09,0.16,0.16
org.apache.logging.log4j:log4j-core,org.postgresql:postgresql,33,202,134,0.16,0.25,0.25
org.easymock:easymock,org.postgresql:postgresql,10,104,134,0.1,0.07,0.1
org.easymock:easymock,org.hamcrest:hamcrest-core,17,104,137,0.16,0.12,0.16
org.apache.maven:maven-plugin-api,org.eclipse.jetty:jetty-server,20,156,148,0.13,0.14,0.14
javax.xml.bind:jaxb-api,org.testng:testng,24,169,158,0.14,0.15,0.15
javax.xml.bind:jaxb-api,org.yaml:snakeyaml,26,169,143,0.15,0.18,0.18
org.assertj:assertj-core,org.yaml:snakeyaml,27,243,143,0.11,0.19,0.19
javax.servlet:servlet-api,org.apache.maven.plugin-tools:maven-plugin-annotations,13,158,132,0.08,0.1,0.1
com.h2database:h2,commons-cli:commons-cli,37,211,223,0.18,0.17,0.18
org.apache.commons:commons-collections4,org.slf4j:slf4j-api,65,109,795,0.6,0.08,0.6
org.apache.commons:commons-compress,org.springframework:spring-beans,20,121,151,0.17,0.13,0.17
commons-cli:commons-cli,org.slf4j:slf4j-log4j12,79,223,301,0.35,0.26,0.35
javax.annotation:javax.annotation-api,org.bouncycastle:bcprov-jdk15on,13,122,106,0.11,0.12,0.12
org.apache.commons:commons-lang3,org.assertj:assertj-core,85,548,243,0.16,0.35,0.35
org.apache.zookeeper:zookeeper,org.hamcrest:hamcrest-core,14,107,137,0.13,0.1,0.13
ch.qos.logback:logback-classic,io.netty:netty-all,46,381,125,0.12,0.37,0.37
com.fasterxml.jackson.core:jackson-annotations,org.assertj:assertj-core,31,237,243,0.13,0.13,0.13
