repositoryName1,repositoryName2,intersection,similarity
FangStarNet/symphonyx,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",0.71
FasterXML/jackson-dataformats-binary,mariadb-corporation/mariadb-connector-j,[logging],1.0
DarLiner/vjtools,sonar-next/sonar-swift,"[api, bridge, logging, plugin, sonar, testing]",0.86
94fzb/zrlog,kakawait/cas-security-spring-boot-starter,"[api, javax, servlet, specs, standard]",0.71
amaembo/huntbugs,danielflower/multi-module-maven-release-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
asciidoctor/asciidoclet,rcarz/jira-client,"[api, junit, mock, mocking, module, testing]",0.75
T-baby/MongoDB-Plugin,jagrosh/Vortex,[logging],1.0
fasseg/exp4j,kokorin/Jaffree,[logging],1.0
sdbg/sdbg,ulisesbocchio/jasypt-spring-boot,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
fusesource/hawtjni,tbroyer/gwt-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.75
asterisk-java/asterisk-java,nurkiewicz/async-retry,[logging],1.0
AzureAD/microsoft-authentication-library-for-java,twitter-archive/cloudhopper-smpp,[logging],1.0
dschulten/hydra-java,resthub/springmvc-router,"[api, javax, servlet, specs, spring, standard, testing]",0.78
bujiio/buji-pac4j,highcharts/highcharts-export-server,"[api, javax, servlet, specs, standard]",0.83
Hive2Hive/Hive2Hive,asterisk-java/asterisk-java,[logging],1.0
serenity-bdd/serenity-cucumber-starter,torakiki/sejda,"[engine, junit, logging, testing]",1.0
TheCoder4eu/BootsFaces-OSP,j-easy/easy-rules,"[api, javax, servlet, specs, standard]",0.71
Nilhcem/FakeSMTP,johnlpage/POCDriver,[logging],1.0
amaembo/huntbugs,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
FasterXML/jackson-databind,asciidoctor/asciidoclet,"[junit, mock, mocking, module, testing]",0.83
apache/commons-logging,hyperledger/fabric-chaincode-java,[logging],1.0
Ekryd/sortpom,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
QSFT/Doradus,goldmansachs/reladomo,"[api, javax, servlet, specs, standard]",0.83
confluentinc/kafka-connect-jdbc,joniles/mpxj,"[jdbc, sql, sqlite]",1.0
uwolfer/gerrit-rest-java-client,zsmartsystems/com.zsmartsystems.zigbee,[xml],1.0
asterisk-java/asterisk-java,ttddyy/datasource-proxy,[logging],1.0
apache/maven-compiler-plugin,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
oldmanpushcart/greys-anatomy,zhoumengkang/netty-restful-server,[logging],1.0
allanzhuo/yyblog,lerry903/RuoYi,"[apache, api, io, security, swagger]",0.71
johnlpage/POCDriver,xSAVIKx/AndroidScreencast,[logging],1.0
JakeWharton/ActionBarSherlock,android-cn/android-open-project-demo,"[android, testing]",1.0
SpoutDev/Vanilla,viskell/viskell,"[api, junit, mock, mocking, module, testing]",1.0
arangodb/arangodb-java-driver,oskopek/javaanpr,[logging],1.0
PetteriM1/NukkitPetteriM1Edition,farsunset/cim,"[io, native, netty, network, socket, transport]",0.86
Nilhcem/FakeSMTP,chhsiao90/nitmproxy,[logging],1.0
SERG-Delft/jpacman-framework,finmath/finmath-lib,"[engine, junit, testing]",1.0
apache/commons-logging,postgis/postgis-java,[logging],1.0
Ekryd/sortpom,gmu-swe/phosphor,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
feroult/yawp,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
pircbotx/pircbotx,plutext/docx4j-ImportXHTML,[logging],1.0
3pillarlabs/socialauth,qos-ch/slf4j,[bytecode],1.0
mdeverdelhan/ta4j-origins,scorego/WechatRobot,[logging],1.0
hprose/hprose-java,socketio/engine.io-server-java,"[api, javax, servlet, specs, standard]",0.83
TNG/JGiven,feroult/yawp,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
rohanpadhye/JQF,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
eclipse/microprofile,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
jobrunr/jobrunr,majusko/pulsar-java-spring-boot-starter,"[junit, testing]",1.0
yangyangchu1992/quant4j,zhegexiaohuozi/JsoupXpath,"[api, junit, logging, mock, mocking, module, testing]",0.78
chhsiao90/nitmproxy,msemys/esjc,[logging],1.0
biojava/biojava,usethesource/capsule,"[engine, junit, testing]",1.0
AlmasB/FXGL,smart-doc-group/smart-doc,[github],1.0
dunwu/java-tutorial,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",1.0
Hive2Hive/Hive2Hive,jcabi/jcabi-aspects,[logging],1.0
lgxqf/UICrawler,oskopek/javaanpr,[logging],1.0
arangodb/arangodb-java-driver,wangweiX/blockchain-java,[logging],1.0
FasterXML/jackson-dataformats-binary,talsma-ict/umldoclet,[logging],1.0
fluent/fluent-logger-java,spotify/netty-zmtp,[logging],1.0
FasterXML/jackson-dataformats-text,bernardosulzbach/dungeon,"[analysis, annotations, defect, metadata]",1.0
FasterXML/jackson-dataformats-text,Plugily-Projects/BuildBattle,"[analysis, annotations, defect, metadata]",1.0
fusesource/hawtdispatch,ldbc/ldbc_snb_datagen_spark,"[jvm, language, library, scala]",1.0
antlr/antlr4,tunnelvisionlabs/antlr4cs,"[annotations, apache, api, build, build-system, codehaus, maven, metadata, plugin, tools]",0.77
mariadb-corporation/mariadb-connector-j,red6/pdfcompare,[logging],1.0
QSFT/Doradus,StripesFramework/stripes,"[api, javax, servlet, specs, standard]",0.71
samaxes/minify-maven-plugin,tbroyer/gwt-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
Syncleus/aparapi,ldbc/ldbc_snb_datagen_spark,"[jvm, language, library, scala]",1.0
gaul/modernizer-maven-plugin,gmu-swe/phosphor,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
AlmasB/FXGL,games647/LagMonitor,[github],1.0
Hive2Hive/Hive2Hive,asakusafw/asakusafw,[logging],1.0
Plugily-Projects/BuildBattle,alaisi/postgres-async-driver,"[analysis, annotations, defect, metadata]",0.8
FasterXML/jackson-dataformats-binary,twitter-archive/cloudhopper-smpp,[logging],1.0
TDuckCloud/tduck-platform,aitangbao/springboot-manager,"[github, spring, starter]",1.0
dCache/nfs4j,zhoumengkang/netty-restful-server,[logging],1.0
filoghost/HolographicDisplays,yinwang0/pysonar2,"[analysis, annotations, defect, metadata]",1.0
apache/commons-logging,mariadb-corporation/mariadb-connector-j,[logging],1.0
fasseg/exp4j,micronaut-projects/micronaut-examples,[logging],1.0
games647/LagMonitor,sanger-pathogens/Artemis,[github],1.0
fusesource/hawtjni,trautonen/coveralls-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.75
fusesource/hawtjni,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
asterisk-java/asterisk-java,msemys/esjc,[logging],1.0
apache/maven-compiler-plugin,bytedeco/javacpp,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
elBukkit/MagicPlugin,smart-doc-group/smart-doc,[github],1.0
AzureAD/microsoft-authentication-library-for-java,zhoumengkang/netty-restful-server,[logging],1.0
checkstyle/checkstyle,majusko/pulsar-java-spring-boot-starter,"[junit, testing]",1.0
Sayi/poi-tl,mp911de/logstash-gelf,[logging],1.0
kokorin/Jaffree,thiagolocatelli/parse4j,[logging],1.0
davidmoten/rxjava2-jdbc,raml-org/raml-java-parser,"[analysis, annotations, defect, google, metadata]",0.83
FasterXML/jackson-jr,SeanDragon/protools,"[client, http]",1.0
TheCoder4eu/BootsFaces-OSP,bujiio/buji-pac4j,"[api, javax, servlet, specs, standard]",1.0
alibaba/innodb-java-reader,mcdcorp/opentest,"[apache, commons, csv, tabular]",0.8
ttddyy/datasource-proxy,zhoumengkang/netty-restful-server,[logging],1.0
ps3mediaserver/ps3mediaserver,ttddyy/datasource-proxy,[logging],1.0
asterisk-java/asterisk-java,thiagolocatelli/parse4j,[logging],1.0
oldmanpushcart/greys-anatomy,talsma-ict/umldoclet,[logging],1.0
JetBrains/intellij-samples,filoghost/HolographicDisplays,"[analysis, annotations, defect, metadata]",1.0
Stratio/deep-spark,asciidoctor/asciidoclet,"[api, junit, mock, mocking, module, testing]",1.0
jimbethancourt/RefactorFirst,trivago/cluecumber-report-plugin,"[annotations, apache, build, build-system, engine, junit, maven, metadata, plugin, testing, tools]",0.79
gturri/aXMLRPC,vandeseer/easytable,[github],1.0
JnRouvignac/AutoRefactor,nurkiewicz/async-retry,[logging],1.0
RUB-NDS/BurpSSOExtension,sockeqwe/fragmentargs,[api],1.0
hprose/hprose-java,knowm/Sundial,"[api, javax, servlet, specs, standard]",1.0
RuedigerMoeller/fast-serialization,tomsik68/mclauncher-api,[json],1.0
rohanpadhye/JQF,shrinkwrap/resolver,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
fasseg/exp4j,ps3mediaserver/ps3mediaserver,[logging],1.0
sdbg/sdbg,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
games647/LagMonitor,vandeseer/easytable,[github],1.0
ps3mediaserver/ps3mediaserver,red6/pdfcompare,[logging],1.0
fusesource/hawtjni,spotify/dockerfile-maven,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
luontola/retrolambda,tunnelvisionlabs/antlr4cs,"[annotations, apache, api, build, build-system, codehaus, maven, metadata, plugin, tools]",1.0
chhsiao90/nitmproxy,talsma-ict/umldoclet,[logging],1.0
docbleach/DocBleach,yinwang0/pysonar2,"[analysis, annotations, defect, metadata]",0.8
kokorin/Jaffree,ttddyy/datasource-proxy,[logging],1.0
johnlpage/POCDriver,talsma-ict/umldoclet,[logging],1.0
spotify/sparkey-java,zhoumengkang/netty-restful-server,[logging],1.0
StripesFramework/stripes,goldmansachs/reladomo,"[api, javax, servlet, specs, standard]",0.83
Hive2Hive/Hive2Hive,kokorin/Jaffree,[logging],1.0
arangodb/arangodb-java-driver,oldmanpushcart/greys-anatomy,[logging],1.0
JThink/SkyEye,criteo/babar,"[jvm, language, library, scala]",1.0
TheCoder4eu/BootsFaces-OSP,idealo/mongodb-slow-operations-profiler,"[api, javax, servlet, specs, standard]",0.83
fluent/fluent-logger-java,mariadb-corporation/mariadb-connector-j,[logging],1.0
java-deobfuscator/deobfuscator,vandeseer/easytable,[github],1.0
amaembo/huntbugs,feroult/yawp,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
sebastianbenz/Jnario,spring-projects/spring-guice,"[dependency-injection, google]",1.0
nurkiewicz/async-retry,pircbotx/pircbotx,[logging],1.0
asakusafw/asakusafw,johnlpage/POCDriver,[logging],1.0
Zephery/newblog,pmerienne/trident-ml,"[analyzer, apache, index, lucene]",0.8
johnlpage/POCDriver,lgxqf/UICrawler,[logging],1.0
komoot/photon,wesabe/grendel,"[codehaus, jaxrs, rest]",0.75
dynjs/dynjs,okleine/nCoAP,"[cli, parser]",1.0
JnRouvignac/AutoRefactor,ttddyy/datasource-proxy,[logging],1.0
JnRouvignac/AutoRefactor,Nilhcem/FakeSMTP,[logging],1.0
StripesFramework/stripes,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.83
Hive2Hive/Hive2Hive,fluent/fluent-logger-java,[logging],1.0
msemys/esjc,pircbotx/pircbotx,[logging],1.0
FasterXML/jackson-dataformats-binary,oskopek/javaanpr,[logging],1.0
sbtourist/Journal.IO,tipsy/j2html,"[benchmark, junit, performance, testing]",0.8
Nilhcem/FakeSMTP,pircbotx/pircbotx,[logging],1.0
googleapis/gapic-generator,square/protoparser,[google],1.0
HashDataInc/bireme,asciidoctor/asciidoclet,"[junit, mock, mocking, module, testing]",0.83
HubSpot/slack-client,yinjihuan/kitty,[client],1.0
Syncleus/aparapi,rabbitmq/rabbitmq-tutorials,"[jvm, language, library, scala]",1.0
openjfx/javafx-maven-plugin,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
AlmasB/FXGL,jnr/jnr-ffi,[github],1.0
AlmasB/FXGL,qinming99/dst-admin,[github],1.0
bujiio/buji-pac4j,k-tamura/easybuggy,"[api, javax, servlet, specs, standard]",0.83
McFoggy/cssfx,sendgrid/sendgrid-java,"[junit, testing]",1.0
CleverTap/apns-http2,Mindgamesnl/OpenAudioMc,"[client, http]",1.0
bytedeco/javacpp,gmu-swe/phosphor,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
atomix/copycat,fluent/fluent-logger-java,[logging],1.0
Ekryd/sortpom,eclipse/microprofile,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
mdeverdelhan/ta4j-origins,vassalengine/vassal,[logging],1.0
fasseg/exp4j,vassalengine/vassal,[logging],1.0
fusesource/hawtjni,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
alenfive/rocket-api,griffon/griffon,"[codehaus, groovy, jvm, language]",0.8
haosdent/jcgroup,mariadb-corporation/mariadb-connector-j,[logging],1.0
elBukkit/MagicPlugin,sanger-pathogens/Artemis,[github],1.0
checkstyle/checkstyle,sendgrid/sendgrid-java,"[junit, testing]",1.0
kokorin/Jaffree,oskopek/javaanpr,[logging],1.0
gturri/aXMLRPC,sanger-pathogens/Artemis,[github],1.0
PebbleTemplates/pebble,idealo/mongodb-slow-operations-profiler,"[api, javax, logging, servlet, specs, standard]",0.75
StripesFramework/stripes,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",0.83
apache/commons-logging,plutext/docx4j-ImportXHTML,[logging],1.0
Ekryd/sortpom,fusesource/hawtjni,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
springdoc/springdoc-openapi-demos,tomsik68/mclauncher-api,[json],1.0
helun/Ektorp,springdoc/springdoc-openapi-demos,[json],1.0
trautonen/coveralls-maven-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.75
twitter-archive/cloudhopper-smpp,zhoumengkang/netty-restful-server,[logging],1.0
fasseg/exp4j,haosdent/jcgroup,[logging],1.0
alenfive/rocket-api,jonashackt/spring-boot-vuejs,"[codehaus, groovy, jvm, language]",1.0
AgNO3/jcifs-ng,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",1.0
Stratio/deep-spark,rcarz/jira-client,"[api, junit, mock, mocking, module, testing]",0.75
kilim/kilim,trautonen/coveralls-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
mr-hashemi/mr-hashemi,oracle/graal,[sdk],1.0
danielflower/multi-module-maven-release-plugin,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
Hive2Hive/Hive2Hive,j256/simplemagic,[logging],1.0
arangodb/arangodb-java-driver,johnlpage/POCDriver,[logging],1.0
java-deobfuscator/deobfuscator,smart-doc-group/smart-doc,[github],1.0
talios/clojure-maven-plugin,tbroyer/gwt-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
amaembo/huntbugs,apache/maven-compiler-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",1.0
clir/clearnlp,dynjs/dynjs,"[cli, parser]",1.0
Vatuu/discord-rpc,facebook/nailgun,[native],1.0
T-baby/MongoDB-Plugin,ps3mediaserver/ps3mediaserver,[logging],1.0
apache/maven-compiler-plugin,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
dodie/scott,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
chhsiao90/nitmproxy,haosdent/jcgroup,[logging],1.0
npgall/cqengine,ssaring/sportstracker,"[jdbc, sql, sqlite]",1.0
socketio/engine.io-client-java,zxbu/webdav-aliyundriver,"[client, http]",1.0
JnRouvignac/AutoRefactor,vassalengine/vassal,[logging],1.0
paul-hammant/paranamer,trautonen/coveralls-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
aadnk/ProtocolLib,coinbase/coinbase-java,"[junit, mock, mocking, module, testing]",0.83
fluent/fluent-logger-java,zhoumengkang/netty-restful-server,[logging],1.0
lexburner/dubbo-mesh,upyun/java-sdk,"[client, http]",1.0
Ekryd/sortpom,talios/clojure-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
mdeverdelhan/ta4j-origins,wangweiX/blockchain-java,[logging],1.0
alibaba/transmittable-thread-local,ben-manes/caffeine,"[io, reactive]",1.0
chhsiao90/nitmproxy,oldmanpushcart/greys-anatomy,[logging],1.0
Sayi/poi-tl,atomix/copycat,[logging],1.0
openjfx/javafx-maven-plugin,takari/takari-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
k-tamura/easybuggy,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",0.83
tigase/tigase-server,xuxueli/xxl-job,"[codehaus, groovy, jvm, language]",1.0
coinbase/coinbase-java,rcarz/jira-client,"[api, junit, mock, mocking, module, testing]",0.75
CleverTap/apns-http2,SeanDragon/protools,"[client, http]",1.0
jagrosh/Vortex,lgxqf/UICrawler,[logging],1.0
dCache/nfs4j,jcabi/jcabi-aspects,[logging],1.0
alibaba/innodb-java-reader,recommenders/rival,"[apache, commons, csv, tabular]",1.0
SpoonLabs/gumtree-spoon-ast-diff,la-team/light-admin,"[collections, structures]",1.0
QSFT/Doradus,TheCoder4eu/BootsFaces-OSP,"[api, javax, servlet, specs, standard]",0.83
Thomas-S-B/visualee,springdoc/springdoc-openapi-demos,[json],1.0
plutext/docx4j-ImportXHTML,thiagolocatelli/parse4j,[logging],1.0
samaxes/minify-maven-plugin,trivago/cucable-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
baomidou/mybatis-plus-samples,hprose/hprose-java,"[api, javax, servlet, specs, standard]",0.71
javaee/jax-rs-api,spring-cloud/spring-cloud-task,"[api, javaee, javax, specs, standard]",0.71
checkstyle/checkstyle,jawi/ols,"[junit, testing]",1.0
johnlpage/POCDriver,thiagolocatelli/parse4j,[logging],1.0
ldbc/ldbc_snb_datagen_spark,sonatype/m2eclipse-scala,"[jvm, language, library, scala]",1.0
DataLinkDC/dlink,kagkarlsson/db-scheduler,"[embedded, jdbc, sql]",0.75
Crab2died/Excel4J,tabulapdf/tabula-java,"[apache, commons, csv, tabular]",0.8
apache/commons-logging,asakusafw/asakusafw,[logging],1.0
hprose/hprose-java,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",1.0
jawi/ols,majusko/pulsar-java-spring-boot-starter,"[junit, testing]",1.0
sdbg/sdbg,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
AzureAD/microsoft-authentication-library-for-java,lgxqf/UICrawler,[logging],1.0
dodie/scott,trivago/cucable-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
jnr/jnr-unixsocket,kcctl/kcctl,[github],1.0
idealo/mongodb-slow-operations-profiler,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",0.83
red6/pdfcompare,ttddyy/datasource-proxy,[logging],1.0
javaee/javamail,movsim/movsim,"[javax, specs, standard]",0.75
FasterXML/jackson-jr,lexburner/dubbo-mesh,"[client, http]",1.0
jnr/jnr-ffi,kcctl/kcctl,[github],1.0
FangStarNet/symphonyx,hprose/hprose-java,"[api, javax, servlet, specs, standard]",0.71
amaembo/huntbugs,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",1.0
pircbotx/pircbotx,ps3mediaserver/ps3mediaserver,[logging],1.0
facebook/nailgun,peter-lawrey/Java-Thread-Affinity,[native],1.0
nurkiewicz/async-retry,spotify/netty-zmtp,[logging],1.0
cmu-phil/tetrad,filoghost/HolographicDisplays,"[analysis, annotations, defect, metadata]",0.8
libraryaddict/LibsDisguises,lmdbjava/benchmarks,[api],1.0
AgNO3/jcifs-ng,goldmansachs/reladomo,"[api, javax, servlet, specs, standard]",1.0
AzureAD/microsoft-authentication-library-for-java,spotify/netty-zmtp,[logging],1.0
AzureAD/microsoft-authentication-library-for-java,JnRouvignac/AutoRefactor,[logging],1.0
apache/commons-pool,fuzhengwei/small-spring,[bytecode],1.0
baomidou/mybatis-plus-samples,bujiio/buji-pac4j,"[api, javax, servlet, specs, standard]",0.71
asakusafw/asakusafw,zhoumengkang/netty-restful-server,[logging],1.0
npgall/cqengine,verdict-project/verdict,"[jdbc, sql, sqlite]",0.75
Hive2Hive/Hive2Hive,talsma-ict/umldoclet,[logging],1.0
MinnDevelopment/discord-webhooks,luoye663/e5,"[analysis, annotations, client, defect, http, metadata]",1.0
FasterXML/jackson-dataformats-binary,Sayi/poi-tl,[logging],1.0
DarLiner/vjtools,Idean/sonar-swift,"[api, bridge, logging, plugin, sonar, testing]",0.86
asciidoctor/asciidoclet,damianszczepanik/cucumber-reporting,"[api, junit, mock, mocking, module, testing]",0.75
apache/commons-logging,atomix/copycat,[logging],1.0
scorego/WechatRobot,ttddyy/datasource-proxy,[logging],1.0
apache/maven-compiler-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
AzureAD/microsoft-authentication-library-for-java,plutext/docx4j-ImportXHTML,[logging],1.0
Stratio/deep-spark,jenkinsci/gerrit-trigger-plugin,"[api, junit, mock, mocking, module, testing]",0.75
signalapp/Signal-Server,ssssssss-team/spider-flow,"[apache, commons, csv, tabular]",0.8
OWASP/java-html-sanitizer,docbleach/DocBleach,"[analysis, annotations, defect, google, metadata]",0.83
gaul/modernizer-maven-plugin,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
chhsiao90/nitmproxy,kokorin/Jaffree,[logging],1.0
WinterChenS/my-site,loda-kun/spring-boot-learning,"[api, io, swagger]",1.0
Multiverse/Multiverse-Core,aikar/commands,"[analysis, annotations, defect, metadata]",1.0
dunwu/java-tutorial,idealo/mongodb-slow-operations-profiler,"[api, javax, servlet, specs, standard]",0.83
MarkusBernhardt/proxy-vole,Vatuu/discord-rpc,[native],1.0
damianszczepanik/cucumber-reporting,medcl/elasticsearch-analysis-pinyin,"[api, junit, mock, mocking, module, testing]",0.75
3pillarlabs/socialauth,fuzhengwei/small-spring,[bytecode],1.0
scorego/WechatRobot,zhoumengkang/netty-restful-server,[logging],1.0
plutext/docx4j-ImportXHTML,scorego/WechatRobot,[logging],1.0
AzureAD/microsoft-authentication-library-for-java,arangodb/arangodb-java-driver,[logging],1.0
baomidou/mybatis-plus-samples,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.71
gaul/modernizer-maven-plugin,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
knowm/Sundial,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",1.0
dunwu/java-tutorial,hprose/hprose-java,"[api, javax, servlet, specs, standard]",1.0
danielflower/multi-module-maven-release-plugin,talios/clojure-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
arangodb/arangodb-java-driver,asakusafw/asakusafw,[logging],1.0
CleverTap/apns-http2,zhangyingwei/cockroach,"[client, http]",1.0
FasterXML/jackson-dataformats-binary,Hive2Hive/Hive2Hive,[logging],1.0
MarkusBernhardt/proxy-vole,nokia/RED,[native],1.0
cisco-system-traffic-generator/trex-stateless-gui,rrd4j/rrd4j,"[junit, native, testing]",0.75
Nilhcem/FakeSMTP,lgxqf/UICrawler,[logging],1.0
apache/commons-logging,red6/pdfcompare,[logging],1.0
j256/simplemagic,spotify/netty-zmtp,[logging],1.0
j256/simplemagic,thiagolocatelli/parse4j,[logging],1.0
Luohuayu/CatServer,petterobam/database-oop,"[jdbc, sql, sqlite]",1.0
fasseg/exp4j,oskopek/javaanpr,[logging],1.0
fusesource/hawtjni,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
samaxes/minify-maven-plugin,shrinkwrap/resolver,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
JetBrains/intellij-samples,cmu-phil/tetrad,"[analysis, annotations, defect, metadata]",0.8
Stratio/deep-spark,mohamicorp/stash-jenkins-postreceive-webhook,"[api, junit, mock, mocking, module, testing]",1.0
asakusafw/asakusafw,mariadb-corporation/mariadb-connector-j,[logging],1.0
gaul/modernizer-maven-plugin,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
luontola/retrolambda,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
SQLDroid/SQLDroid,rgladwell/m2e-android,[testing],1.0
pac4j/spring-security-pac4j,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",1.0
pac4j/spring-security-pac4j,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",1.0
jmapper-framework/jmapper-core,rongcloud/server-sdk-java,[xml],1.0
bujiio/buji-pac4j,socketio/engine.io-server-java,"[api, javax, servlet, specs, standard]",0.83
bujiio/buji-pac4j,kakawait/cas-security-spring-boot-starter,"[api, javax, servlet, specs, standard]",1.0
OpenAPITools/openapi-diff,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
Hive2Hive/Hive2Hive,plutext/docx4j-ImportXHTML,[logging],1.0
alaisi/postgres-async-driver,yinwang0/pysonar2,"[analysis, annotations, defect, metadata]",0.8
FasterXML/jackson-dataformats-binary,T-baby/MongoDB-Plugin,[logging],1.0
kcctl/kcctl,sanger-pathogens/Artemis,[github],1.0
spring-projects/spring-security-javaconfig,tuguangquan/mybatis,[bytecode],1.0
apache/commons-logging,johnlpage/POCDriver,[logging],1.0
Ekryd/sortpom,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
T-baby/MongoDB-Plugin,atomix/copycat,[logging],1.0
HashDataInc/bireme,kiegroup/jbpm,"[junit, mock, mocking, module, testing]",1.0
TNG/JGiven,jimbethancourt/RefactorFirst,"[annotations, apache, build, build-system, junit, maven, metadata, plugin, testing, tools]",0.91
apache/commons-validator,datumbox/datumbox-framework,"[apache, commons, csv, tabular]",0.8
asterisk-java/asterisk-java,oskopek/javaanpr,[logging],1.0
goldmansachs/reladomo,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",1.0
luontola/retrolambda,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
kilim/kilim,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
jmapper-framework/jmapper-core,uwolfer/gerrit-rest-java-client,[xml],1.0
danielflower/multi-module-maven-release-plugin,sdbg/sdbg,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
Plugily-Projects/BuildBattle,aikar/commands,"[analysis, annotations, defect, metadata]",1.0
javaee/security-soteria,javaeekickoff/java-ee-kickoff-app,"[api, javaee, javax, specs, standard]",0.83
FasterXML/jackson-dataformats-text,yinwang0/pysonar2,"[analysis, annotations, defect, metadata]",1.0
mariadb-corporation/mariadb-connector-j,vassalengine/vassal,[logging],1.0
FasterXML/jackson-databind,Stratio/deep-spark,"[junit, mock, mocking, module, testing]",0.83
j256/simplemagic,scorego/WechatRobot,[logging],1.0
T-baby/MongoDB-Plugin,lgxqf/UICrawler,[logging],1.0
